date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-02-08,1024.1,1028.25,985.25,989.3,980.86,20565502,20565502,-34.8,-3.4,1006.725,"February 08, 24",-0.034
2024-02-07,1028.0,1031.55,1013.0,1022.15,1013.43,16410895,16410895,-5.85,-0.56907,1023.675,"February 07, 24",-0.0056907
2024-02-06,1023.55,1034.9,1016.7,1026.4,1017.64,12886927,12886927,2.85,0.27844,1025.3875,"February 06, 24",0.0027844
2024-02-05,1022.5,1026.45,1012.1,1023.5,1014.76,12948430,12948430,1.0,0.09779951,1021.1375,"February 05, 24",0.0009779951
2024-02-02,1037.1,1050.0,1021.65,1024.0,1015.26,14774650,14774650,-13.1,-1.26,1033.1875,"February 02, 24",-0.0126
2024-02-01,1033.95,1033.95,1017.4,1025.15,1016.4,13058880,13058880,-8.8,-0.8511,1027.6125,"February 01, 24",-0.008511
2024-01-31,1016.8,1039.0,1003.25,1028.15,1019.37,25627447,25627447,11.35,1.12,1021.8,"January 31, 24",0.0112
2024-01-30,1014.95,1023.85,1008.0,1016.9,1008.22,16085742,16085742,1.95,0.19213,1015.925,"January 30, 24",0.0019213
2024-01-29,1020.0,1032.0,1010.0,1016.4,1007.72,14078922,14078922,-3.6,-0.35294,1019.6,"January 29, 24",-0.0035294
2024-01-25,998.4,1015.1,988.15,1009.95,1001.33,28315035,28315035,11.55,1.16,1002.9,"January 25, 24",0.0116
2024-01-24,1029.45,1035.95,996.65,999.2,990.67,34578943,34578943,-30.25,-2.94,1015.3125,"January 24, 24",-0.0294
2024-01-23,1059.1,1059.4,1021.2,1029.05,1020.27,50797448,50797448,-30.05,-2.84,1042.1875,"January 23, 24",-0.0284
2024-01-22,999.2,999.2,999.2,999.2,999.2,0,0,0.0,0.0,999.2,"January 22, 24",0.0
2024-01-20,1005.95,1014.7,995.3,1008.7,1000.09,8788873,8788873,2.75,0.27337,1006.1625,"January 20, 24",0.0027337
2024-01-19,991.3,1010.9,987.55,999.2,990.67,23271148,23271148,7.9,0.79693,997.2375,"January 19, 24",0.0079693
2024-01-18,973.95,994.3,970.15,986.35,977.93,17902484,17902484,12.4,1.27,981.1875,"January 18, 24",0.0127
2024-01-17,987.9,1007.8,976.75,981.75,973.37,41914771,41914771,-6.15,-0.62253,988.55,"January 17, 24",-0.0062253
2024-01-16,1006.1,1015.8,1004.6,1009.05,1000.44,11505126,11505126,2.95,0.29321,1008.8875,"January 16, 24",0.0029321
2024-01-15,1003.5,1011.65,999.25,1009.85,1001.23,12388044,12388044,6.35,0.63279,1006.0625,"January 15, 24",0.0063279
2024-01-12,994.8,1008.7,991.75,1003.5,994.93,12255743,12255743,8.7,0.87455,999.6875,"January 12, 24",0.0087455
2024-01-11,995.3,998.5,986.85,991.15,982.69,6451345,6451345,-4.15,-0.41696,992.95,"January 11, 24",-0.0041696
2024-01-10,974.3,994.95,974.3,993.05,984.57,9409181,9409181,18.75,1.92,984.15,"January 10, 24",0.0192
2024-01-09,986.25,995.0,975.4,979.75,971.39,14660414,14660414,-6.5,-0.65906,984.1,"January 09, 24",-0.0065906
2024-01-08,994.0,998.2,980.3,982.0,973.62,8393164,8393164,-12.0,-1.21,988.625,"January 08, 24",-0.0121
2024-01-05,988.0,998.3,983.8,993.7,985.22,14875499,14875499,5.7,0.57692,990.95,"January 05, 24",0.0057692
2024-01-04,986.4,989.15,981.9,987.15,978.72,22789140,22789140,0.75,0.07603406,986.15,"January 04, 24",0.0007603406
2024-01-03,984.7,988.0,975.1,984.05,975.65,16826752,16826752,-0.65002,-0.06600995,982.9625,"January 03, 24",-0.0006600995
2024-01-02,997.0,997.65,980.25,982.25,973.87,16263825,16263825,-14.75,-1.48,989.2875,"January 02, 24",-0.0148
2024-01-01,991.55,1004.85,991.0,999.4,990.87,7683792,7683792,7.85,0.79169,996.7,"January 01, 24",0.0079169
2023-12-29,1004.05,1008.55,993.7,996.6,988.09,12280140,12280140,-7.45,-0.74199,1000.725,"December 29, 23",-0.0074199
2023-12-28,1008.0,1011.7,999.1,1005.9,997.31,24915990,24915990,-2.1,-0.20833,1006.175,"December 28, 23",-0.0020833
2023-12-27,997.95,1004.9,992.0,1002.25,993.7,12996468,12996468,4.3,0.43088,999.275,"December 27, 23",0.0043088
2023-12-26,994.9,997.5,989.9,995.1,986.61,14339699,14339699,0.19996,0.02010252,994.35,"December 26, 23",0.0002010252
2023-12-22,1002.95,1009.55,991.6,994.3,985.81,20881976,20881976,-8.65,-0.86246,999.6,"December 22, 23",-0.0086246
2023-12-21,996.55,1010.9,989.2,1004.4,995.83,18064916,18064916,7.85,0.78772,1000.2625,"December 21, 23",0.0078772
2023-12-20,1022.0,1022.0,1002.0,1006.65,998.06,16490281,16490281,-15.35,-1.5,1013.1625,"December 20, 23",-0.015
2023-12-19,1025.5,1025.5,1012.6,1015.45,1006.78,10094256,10094256,-10.05,-0.98001,1019.7625,"December 19, 23",-0.0098001
2023-12-18,1029.95,1029.95,1018.0,1021.45,1012.73,8592711,8592711,-8.5,-0.82528,1024.8375,"December 18, 23",-0.0082528
2023-12-15,1043.65,1043.7,1025.7,1037.4,1028.55,14306067,14306067,-6.25,-0.59886,1037.6125,"December 15, 23",-0.0059886
2023-12-14,1022.25,1040.0,1021.25,1033.65,1024.83,16317672,16317672,11.4,1.12,1029.2875,"December 14, 23",0.0112
2023-12-13,1014.8,1020.7,1009.2,1013.9,1005.25,15887040,15887040,-0.9,-0.08868743,1014.65,"December 13, 23",-0.0008868743
2023-12-12,1017.1,1021.0,1008.6,1015.7,1007.03,12380856,12380856,-1.4,-0.13765,1015.6,"December 12, 23",-0.0013765
2023-12-11,1007.1,1020.0,1004.65,1017.1,1008.42,11714606,11714606,10.0,0.99295,1012.2125,"December 11, 23",0.0099295
2023-12-08,994.5,1012.85,993.25,1010.85,1002.22,16116363,16116363,16.35,1.64,1002.8625,"December 08, 23",0.0164
2023-12-07,996.35,1002.2,988.15,999.0,990.47,11841945,11841945,2.65,0.26597,996.425,"December 07, 23",0.0026597
2023-12-06,1014.0,1016.25,1000.25,1003.25,994.69,18786590,18786590,-10.75,-1.06,1008.4375,"December 06, 23",-0.0106
2023-12-05,1002.5,1015.75,995.05,1013.45,1004.8,31378461,31378461,10.95,1.09,1006.6875,"December 05, 23",0.0109
2023-12-04,963.7,994.85,961.4,991.2,982.74,33131257,33131257,27.5,2.85,977.7875,"December 04, 23",0.0285
2023-12-01,935.95,952.0,933.0,946.7,938.62,16986046,16986046,10.75,1.15,941.9125,"December 01, 23",0.0115
